Carrier,Observation Date,Observation Time,Origin,Destination,Is One Way,Outbound Flight No,Outbound Departure Date,Outbound Arrival Date,Price Excluding Tax,Tax,Currency,Aircraft Code,Aircraft Name,Transfer IATA,Transfer Duration
S7,2024-08-09,08:01:32,AER,GOJ,true,S7 5112,2024-08-20T04:50:00,2024-08-20T20:00:00,57135.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5114,2024-08-21T18:00:00,2024-08-22T20:00:00,52675.00,1490.00,RUB,32N,Airbus A320 Neo,OVB,1060
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5110,2024-08-21T11:55:00,2024-08-22T20:00:00,57135.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5108,2024-08-21T14:55:00,2024-08-22T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5106,2024-08-21T16:50:00,2024-08-22T20:00:00,68430.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:33,AER,GOJ,true,S7 5104,2024-08-21T13:25:00,2024-08-22T20:00:00,68430.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:34,AER,GOJ,true,S7 5112,2024-08-22T04:50:00,2024-08-22T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:35,AER,GOJ,true,S7 5112,2024-08-22T04:50:00,2024-08-22T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:37,AER,GOJ,true,S7 5114,2024-08-24T18:00:00,2024-08-25T20:00:00,62340.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:37,AER,GOJ,true,S7 5106,2024-08-24T16:50:00,2024-08-25T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:37,AER,GOJ,true,S7 5108,2024-08-24T14:55:00,2024-08-25T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:37,AER,GOJ,true,S7 5104,2024-08-24T13:25:00,2024-08-25T20:00:00,62340.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:37,AER,GOJ,true,S7 5110,2024-08-24T11:55:00,2024-08-25T20:00:00,68430.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:37,AER,GOJ,true,S7 5112,2024-08-25T04:50:00,2024-08-25T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:39,AER,GOJ,true,S7 5114,2024-08-26T18:00:00,2024-08-27T20:00:00,62340.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:39,AER,GOJ,true,S7 5106,2024-08-26T16:50:00,2024-08-27T20:00:00,68430.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:39,AER,GOJ,true,S7 5108,2024-08-26T14:55:00,2024-08-27T20:00:00,68430.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:39,AER,GOJ,true,S7 5104,2024-08-26T13:25:00,2024-08-27T20:00:00,68430.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:39,AER,GOJ,true,S7 5110,2024-08-26T11:55:00,2024-08-27T20:00:00,68430.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:39,AER,GOJ,true,S7 5112,2024-08-27T04:50:00,2024-08-27T20:00:00,62340.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:40,AER,GOJ,true,S7 5104,2024-08-28T13:25:00,2024-08-29T20:00:00,55190.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:40,AER,GOJ,true,S7 5110,2024-08-28T11:55:00,2024-08-29T20:00:00,55190.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:40,AER,GOJ,true,S7 5114,2024-08-28T18:00:00,2024-08-29T20:00:00,61280.00,1490.00,RUB,32N,Airbus A320 Neo,OVB,1060
S7,2024-08-09,08:01:40,AER,GOJ,true,S7 5106,2024-08-28T16:50:00,2024-08-29T20:00:00,61280.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:40,AER,GOJ,true,S7 5108,2024-08-28T14:55:00,2024-08-29T20:00:00,61280.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:41,AER,GOJ,true,S7 5112,2024-08-29T04:50:00,2024-08-29T20:00:00,61280.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:42,AER,GOJ,true,S7 5112,2024-08-29T04:50:00,2024-08-29T20:00:00,61280.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:43,AER,GOJ,true,S7 5114,2024-08-31T18:00:00,2024-09-01T20:00:00,55190.00,1490.00,RUB,32A,Airbus A320,OVB,1060
S7,2024-08-09,08:01:43,AER,GOJ,true,S7 5106,2024-08-31T16:50:00,2024-09-01T20:00:00,55190.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:43,AER,GOJ,true,S7 5108,2024-08-31T14:55:00,2024-09-01T20:00:00,55190.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
S7,2024-08-09,08:01:43,AER,GOJ,true,S7 5104,2024-08-31T13:25:00,2024-09-01T20:00:00,55190.00,1490.00,RUB,321,Airbus A321,OVB,1330
S7,2024-08-09,08:01:43,AER,GOJ,true,S7 5110,2024-08-31T11:55:00,2024-09-01T20:00:00,55190.00,1490.00,RUB,73H,Boeing 737-800,OVB,1425
S7,2024-08-09,08:01:43,AER,GOJ,true,S7 5112,2024-09-01T04:50:00,2024-09-01T20:00:00,49985.00,1490.00,RUB,73H,Boeing 737-800,OVB,405
S7,2024-08-09,08:01:44,AER,GOJ,true,S7 5114,2024-09-02T18:00:00,2024-09-03T20:00:00,45525.00,1490.00,RUB,73H,Boeing 737-800,OVB,1060
S7,2024-08-09,08:01:44,AER,GOJ,true,S7 5106,2024-09-02T16:50:00,2024-09-03T20:00:00,45525.00,1490.00,RUB,73H,Boeing 737-800,OVB,1130
S7,2024-08-09,08:01:44,AER,GOJ,true,S7 5108,2024-09-02T14:55:00,2024-09-03T20:00:00,45525.00,1490.00,RUB,73H,Boeing 737-800,OVB,1245
