Carrier,Observation Date,Observation Time,Origin,Destination,Is One Way,Outbound Flight No,Outbound Departure Date,Outbound Arrival Date,Price Excluding Tax,Tax,Currency,Aircraft Code,Aircraft Name,Transfer IATA,Transfer Duration
S7,2024-08-09,08:01:28,GOJ,AER,true,S7 5054,2024-08-15T20:45:00,2024-08-16T14:00:00,71485.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:29,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T15:55:00,41760.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:29,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T11:00:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:29,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T12:25:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:29,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T14:00:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:30,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T15:55:00,41760.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:30,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T11:00:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:30,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T12:25:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:30,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T14:00:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:31,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T15:55:00,41760.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:31,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T11:00:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:31,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T12:25:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:31,GOJ,AER,true,S7 5054,2024-08-18T20:45:00,2024-08-19T14:00:00,67450.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:32,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T11:00:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:32,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T12:25:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:32,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T14:00:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:32,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T15:55:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,635
S7,2024-08-09,08:01:33,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T11:00:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,340
S7,2024-08-09,08:01:33,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T12:25:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,425
S7,2024-08-09,08:01:33,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T14:00:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,520
S7,2024-08-09,08:01:33,GOJ,AER,true,S7 5054,2024-08-20T20:45:00,2024-08-21T15:55:00,42830.00,1490.00,RUB,E70,Embraer 170,OVB,635
